메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
헤이즐넛라떼,237.4,10.8,216.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165911_1656575951121_0YxlHWvpqC.jpg
헤이즐넛아메리카노,113.6,15.8,196.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630170029_1656576029152_FYWEDbVbFT.jpg
큐브라떼,304.4,15.0,313.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630170153_1656576113197_DlT_PINcn9.jpg
메가초코,397.2,39.4,44.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630170539_1656576339284_Z3FLilZHqf.jpg
아메리카노,12.2,0.0,199.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630171805_1656577085458_7skvYFEJwH.jpg
녹차프라페,571.1,59.6,248.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172012_1656577212055_xI5BNzVrBv.jpg
딸기요거트스무디,401.4,58.5,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172121_1656577281098_SlUU5dNwy3.jpg
딸기퐁크러쉬,536.9,45.9,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172329_1656577409159_FwpVWoa5tq.jpg
리얼초코프라페,651.1,58.0,34.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172451_1656577491159_xXIMHQfwNM.jpg
망고요거트스무디,374.9,41.1,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172551_1656577551617_kS42LIFWUP.jpg
민트프라페,511.7,53.7,19.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172654_1656577614651_YWpnhL4tWC.jpg
바나나퐁크러쉬,593.8,64.2,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172744_1656577664430_xxgPSw_6dO.jpg
스트로베리치즈홀릭,502.4,53.7,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172857_1656577737713_B9XusFXuaA.jpg
초코허니퐁크러쉬,506.2,44.9,12.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630173152_1656577913000_wcKkf0OiR_.jpg
커피프라페,420.4,28.9,123.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630173345_1656578025626_Zr4i9lWUBU.jpg
플레인요거트스무디,516.5,68.4,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630173441_1656578081783_m2stsUQfSH.jpg
슈크림허니퐁크러쉬,568.1,49.5,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630173702_1656578222665_URDbIWF3Ge.jpg
플레인퐁크러쉬,468.6,46.2,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630174120_1656578480425_zDgsPabCUA.jpg
라임모히또,278.6,45.8,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630175423_1656579263944_ycn4t3hwxa.jpg
레몬에이드,196.8,35.1,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630175526_1656579326607_5YlsYvYbOp.jpg
블루레몬에이드,225.0,36.5,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630175800_1656579480786_aPTTGq1vzy.jpg
자몽에이드,203.8,40.7,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630180039_1656579639972_oL9vkikWmx.jpg
청포도에이드,305.4,57.6,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630180936_1656580176691_aeIBhB2MkF.jpg
유니콘매직에이드(핑크),219.9,41.0,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630182022_1656580822455_RgZAxSNiWj.jpg
유니콘매직에이드(블루),275.5,48.6,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630182155_1656580915892_BEA6u2b3Ym.jpg
체리콕,323.6,55.6,23.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630182321_1656581001230__fv6UmKGjl.jpg
메가에이드,292.4,53.9,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630183110_1656581470280_dcyjVzPTSr.jpg
녹차,0.7,0.0,65.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630183845_1656581925791_WAKVFYW8Iu.jpg
사과유자차,227.1,47.0,0.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630184016_1656582016457_8IrCFdRhCj.jpg
얼그레이,0.7,0.0,73.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630185723_1656583043173_a9PUetBZWf.jpg
캐모마일,0.5,0.0,0.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630190142_1656583302496_X3ATihg2ym.jpg
페퍼민트,0.2,0.0,0.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630190628_1656583588286_Q3wrF_v8cM.jpg
녹차,1.0,0.0,78.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701113057_1656642657113_ORWSdJHBUa.jpg
사과유자차,242.2,37.5,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701113153_1656642713022_k19Le9pVJ4.jpg
얼그레이,1.3,0.0,87.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701113256_1656642776818_NVdHeZhSwJ.jpg
캐모마일,1.3,0.0,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701113429_1656642869511_RmwB3ABBGy.jpg
페퍼민트,2.5,0.0,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701113900_1656643140203_8gqFs23KzD.jpg
복숭아아이스티,297.1,62.6,65.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701114038_1656643238601_tmNjGB3jsD.jpg
유자차,286.4,47.9,0.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701114220_1656643340256_dRQjucU1eB.jpg
레몬차,275.5,56.1,0.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701114311_1656643391188_ggllqjyZ42.jpg
자몽차,294.0,58.1,0.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220706122658_1657078018394_kURilN5daH.jpg
허니자몽블랙티,302.2,53.6,61.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171740_1656663460439_DIkikBTJ0c.jpg
유자차,303.1,59.4,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701114618_1656643578419_AJ7yOGg1se.jpg
레몬차,327.5,68.9,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701125401_1656647641310_rTz7X5_dkK.jpg
자몽차,297.6,58.5,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701125500_1656647700753_PLbN1hunjZ.jpg
허니자몽블랙티,265.8,42.7,70.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701125611_1656647771494_C6SS0q6aeS.jpg
유니콘프라페,474.5,42.3,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630173830_1656578310115_xVPHpZeHkl.jpg
