메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
레모네이드(ICED),246.0,60.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/레모네이드-450x588.png"""
청포도에이드,234.0,56.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/청포도에이드-450x588.png"""
깔라만시에이드,215.0,50.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/깔라만시에이드-450x588.png"""
유자에이드,251.0,62.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/유자에이드-1-450x588.png"""
자몽에이드,258.0,61.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/자몽에이드-450x588.png"""
복숭아에이드,241.0,54.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/복숭아에이드-450x588.png"""
미초(석류)에이드,141.0,32.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/미초에이드-450x588.png"""
완전딸기주스,224.0,43.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전딸기-450x588.png"""
완전망고주스,241.0,37.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전망고-450x588.png"""
완전블루베리주스(ICED),231.0,49.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/04/블루베리주스-450x588.png"""
블루베리요거트스무디(ICED),484.0,74.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/04/블루베리요거트스무디-450x588.png"""
밀크쉐이크,535.0,52.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/밀크쉐이크-2-450x588.png"""
플레인요거트스무디,494.0,94.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/플레인요거트스무디-450x588.png"""
딸기요거트스무디,448.0,45.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/딸기요거트스무디-2-450x588.png"""
빽사이즈 초코라떼(ICED),555.0,90.0,23.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/04/빽사이즈-완전초코-32oz-450x588.png"""
빽사이즈 달콤아이스티(ICED),406.0,95.0,32.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/04/빽사이즈-달콤아이스티-32oz-450x588.png"""
딸기라떼(ICED),331.0,54.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2022/02/딸기라떼-450x588.png"""
원조빽스치노(BASIC),578.0,75.0,280.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/원조빽스치노-BASIC-450x588.png"""
원조빽스치노(SOFT),785.0,87.0,280.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/원조빽스치노-SOFT-450x588.png"""
딸기바나나빽스치노(BASIC),500.0,93.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전딸기바나나-BASIC-450x588.png"""
딸기바나나빽스치노(SOFT),685.0,138.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전딸기바나나-SOFT-450x588.png"""
초코바나나빽스치노(BASIC),607.0,72.0,24.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전초코바나나-BASIC-450x588.png"""
초코바나나빽스치노(SOFT),792.0,117.0,24.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전초코바나나_빽스치노-SOFT-450x588.png"""
딸기 빽스치노(BASIC),480.0,86.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전딸기빽스치노-BASIC-450x588.png"""
딸기 빽스치노(SOFT),687.0,98.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전딸기빽스치노-SOFT-450x588.png"""
녹차빽스치노(BASIC),548.0,90.0,260.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/녹차빽스치노-BASIC-450x588.png"""
녹차빽스치노(SOFT),755.0,103.0,260.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/녹차빽스치노-SOFT-450x588.png"""
민트초코빽스치노(BASIC),602.0,28.0,51.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/민트초코빽스치노-BASIC-450x588.png"""
민트초코빽스치노(SOFT),809.0,40.0,51.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/민트초코빽스치노-SOFT-450x588.png"""
쿠키크런치빽스치노(BASIC),768.0,93.0,11.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/쿠키크런치빽스치노-BASIC-450x588.png"""
쿠키크런치빽스치노(SOFT),942.0,103.0,11.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/쿠키크런치빽스치노-SOFT-450x588.png"""
