메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
딸기 콜드폼 초콜릿,255,45,5,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004950]_20231204090637454.jpg
딸기 콜드폼 딸기 라떼,235,41,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004951]_20231102101647780.jpg
티라미수 초콜릿,420,41,10,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004952]_20231127093938000.jpg
아이스 티라미수 초콜릿,335,34,10,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004953]_20231127094019740.jpg
말차 티라미수 라떼,405,38,75,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004954]_20231127093740911.jpg
아이스 말차 티라미수 라떼,345,33,75,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004955]_20231127093837785.jpg
제주팔삭 셔벗,95,22,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004957]_20231005084829752.jpg
스노우 말차 라떼,370,32,65,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004988]_20231212110855289.jpg
아이스 스노우 말차 라떼,310,27,65,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004989]_20231212110951107.jpg
레몬 캐모마일 블렌드 티,130,30,0,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004990]_20231212110704300.jpg
아이스 레몬 캐모마일 블렌드 티,130,30,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004991]_20231212110749715.jpg
화이트 타로 라떼,335,28,0,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000005088]_20240118105532694.jpg
아이스 화이트 타로 라떼,265,22,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000005091]_20240118105744307.jpg
피스타치오 크림 라떼,250,22,75,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2024/02/[9200000005097]_20240220162530632.jpg
아이스 피스타치오 크림 라떼,210,19,75,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2024/02/[9200000005100]_20240220162643459.jpg
카스텔라 크럼블 딸기 블렌디드,230,30,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2024/02/[9200000005103]_20240220162738025.jpg
햇사과 주스 190ML,113,27,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000002565]_20210426102753431.jpg
유기농 오렌지 100% 주스 190ML,95,20,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003771]_20211020093813176.jpg
유기농 오렌지 100% 주스 591ML,290,62,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003772]_20211020095105279.jpg
스타 루비 자몽 스위트 190ML,129,32,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003773]_20211020094026512.jpg
딸기 가득 요거트 190ML,155,21,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003775]_20211020094208586.jpg
핑크 용과 레모네이드 190ML,88,19,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003776]_20211020094322052.jpg
필 더 레드 190ML,90,16,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004346]_20220921130442407.jpg
필 더 옐로우 190ML,100,16,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004347]_20220921130952614.jpg
필 더 그린 190ML,90,15,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004348]_20220921102420757.jpg
햇사과 주스 591ML,360,84,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9300000004407]_20221027102828714.jpg
카페 아메리카노,10,0,150,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[94]_20210430103337157.jpg
핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,100,18,30,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/[9200000003766]_20220803130958263.jpg
